id,name,percent_any_financial_aid,percent_any_grant_aid,average_amount_any_grant_aid,percent_federal_grant_aid,average_amount_federal_grant_aid,percent_pell_grant_aid,average_amount_pell_grant_aid,percent_other_grant_aid,average_amount_other_grant_aid,percent_state_grant_aid,average_amount_state_grant_aid,percent_institutional_grant_aid,average_amount_institutional_grant_aid,percent_any_loan_aid,average_amount_any_loan_aid,percent_federal_loan_aid,average_amount_federal_loan_aid,percent_other_loan_aid,average_amount_other_loan_aid
222831,Angelo State University,95,89,6183,50,4853,49,4255,44,713,56,2625,50,3207,56,5260,56,5077,2,5641
222877,Arlington Baptist College,100,58,2775,58,2400,58,2387,2,375,2,4522,31,422,69,5128,69,2564,69,2564
222938,The Art Institute of Houston,92,78,6075,68,5671,68,5011,53,844,3,7660,40,1499,87,8442,87,7960,3,13496
222983,Austin College,98,98,19879,33,5924,32,4277,33,1811,44,4456,98,15886,83,8044,83,6278,17,8817
223232,Baylor University,97,96,16625,24,4990,24,4076,24,931,30,5004,94,13952,58,7794,58,5602,9,14096
224147,Texas A & M University-Corpus Christi,73,56,7754,46,5323,46,4626,39,841,35,4940,11,1679,54,6115,52,5213,9,6531
224226,Dallas Baptist University,92,91,11249,27,4572,27,3992,17,938,41,3769,88,8560,59,8733,57,7186,30,3643
224323,University of Dallas,99,99,18183,27,5027,26,4105,21,1334,19,4233,99,16000,68,6295,66,4755,12,9431
224545,Texas A & M University-Texarkana,76,73,7332,66,2696,37,4214,29,765,13,4221,72,4144,14,4631,14,4631,0,
224776,South University-The Art Institute of Dallas,94,75,5341,65,5089,65,4417,48,907,1,3688,46,1396,88,7895,88,7260,5,10992
225247,Hardin-Simmons University,97,92,11522,71,2553,36,4054,35,987,63,3715,84,7626,73,5917,66,5648,6,8678
225399,Houston Baptist University,97,97,14421,49,4721,49,4182,33,788,52,3987,97,9940,60,9821,60,9121,5,8237
225432,University of Houston-Downtown,84,78,8214,63,4883,62,4633,46,354,48,6069,35,1388,59,2309,59,2306,0,3079
225502,University of Houston-Victoria,95,91,7627,61,4823,61,4385,37,732,43,5668,87,1824,51,4356,51,4147,3,4560
225511,University of Houston,80,69,9117,43,5267,43,4424,29,1237,38,6237,34,4747,42,6585,41,5710,6,6613
225575,Huston-Tillotson University,83,76,7232,76,4450,68,4556,42,675,43,3086,11,7518,77,8238,77,8089,4,3842
225627,University of the Incarnate Word,90,89,14971,48,4864,47,4236,37,877,55,3448,89,10306,70,6736,67,5806,18,4548
226091,Lamar University,72,63,7825,47,4896,47,4581,20,756,46,4932,13,2954,52,6593,51,6127,5,6004
226231,LeTourneau University,100,100,12642,44,5118,41,3993,41,1463,36,3790,97,9329,65,9206,62,7949,15,7165
226383,Lubbock Christian University,98,96,8389,41,4181,41,3850,18,768,50,3575,88,5257,90,7093,90,6289,10,6989
226587,McMurry University,100,99,13365,53,5056,52,3868,50,1329,68,3469,97,8449,86,7208,82,5668,26,6114
226833,Midwestern State University,83,70,7070,43,4702,42,4160,37,727,31,5611,45,2601,50,5516,48,4858,8,5256
